PMID,assigned?,rule_based,Haley,,Peng Yu,Karthik,Chenwei,Xiaohuan,Yi Weng
26842680,notass,Yes,Y,Tumor-derived exosomes regulate expression of immune function-related genes in human T cell subsets.,Y,,,,
26849680,notass,Yes,N*,Application of a Persistent Heparin Treatment Inhibits the Malignant Potential of Oral Squamous Carcinoma Cells Induced by Tumor Cell-Derived Exosomes.,N,,,,
26852014,notass,NA,Y,Exosomes secreted by human urine-derived stem cells could prevent kidney complications from type I diabetes in rats.,Y,,,,
26852333,notass,Yes,Y,Exosome-like vesicles released from lipid-induced insulin-resistant muscles modulate gene expression and proliferation of beta recipient cells in mice.,Y,,,,
26857231,notass,NA,N,Safety evaluation of exosomes derived from human umbilical cord mesenchymal stromal cell.,N,,,,
26857375,notass,Yes,Y,Exosomal transfer of miR-30a between cardiomyocytes regulates autophagy after hypoxia.,Y,,,,
26858453,notass,No,N,Proteomic comparison defines novel markers to characterize heterogeneous populations of extracellular vesicle subtypes.,N,,,,
26860411,notass,NA,N,Differential Expression and Significance of Circulating microRNAs in Cerebrospinal Fluid of Acute Encephalitis Patients Infected with Japanese Encephalitis Virus.,N,,,,
26864267,notass,NA,N,IL-36γ is secreted in microparticles and exosomes by lung macrophages in response to bacteria and bacterial components.,N,,,,
26867772,notass,No,N,Exosomal miRNAs as biomarkers of recurrent lung cancer.,N,,,,
26871467,notass,NA,N,Clinical and biological significance of HAX-1 overexpression in nasopharyngeal carcinoma.,N,,,,
26874302,notass,No,N*,Evaluation of proteomic biomarkers associated with circulating microparticles as an effective means to stratify the risk of spontaneous preterm birth.,N,,,,
26876462,notass,NA,Y,PLK-1 Silencing in Bladder Cancer by siRNA Delivered With Exosomes.,Y,,,,
26880754,notass,NA,N,Regulation of ENaC trafficking in rat kidney.,N,,,,
26880957,notass,Yes,Y,Hijacking the Cellular Mail: Exosome Mediated Differentiation of Mesenchymal Stem Cells.,Y,,,,
26886833,notass,Yes,N,Transfer of the Cystic Fibrosis Transmembrane Conductance Regulator to Human Cystic Fibrosis Cells Mediated by Extracellular Vesicles.,N,,,,
26890775,notass,No,N,Preliminary Study of Plasma Exosomal Tau as a Potential Biomarker for Chronic Traumatic Encephalopathy.,N,,,,
26901056,notass,NA,N,A novel multiplex bead-based platform highlights the diversity of extracellular vesicles.,N,,,,
26902116,notass,NA,N,Development of exosome surface display technology in living human cells.,N,,,,
26904012,notass,NA,N,Presence of Viral RNA and Proteins in Exosomes from Cellular Clones Resistant to Rift Valley Fever Virus Infection.,N,,,,
26908631,notass,NA,N,Characterization of Regulatory Extracellular Vesicles from Osteoclasts.,N,,,,
26911358,notass,NA,N,Engineering hybrid exosomes by membrane fusion with liposomes.,N,,,,
26912358,notass,Yes,Y,Exosome-mediated transfer of miR-222 is sufficient to increase tumor malignancy in melanoma.,Y,,,,
26919098,notass,Yes,Y,Oncogenic epithelial cell-derived exosomes containing Rac1 and PAK2 induce angiogenesis in recipient endothelial cells.,Y,,,,
26928672,notass,NA,N,"MSC secretes at least 3 EV types each with a unique permutation of membrane lipid, protein and RNA.",N,,,,
26931825,notass,NA,N,Cells release subpopulations of exosomes with distinct molecular and biological properties.,N,,,,
26934553,notass,NA,N,Prostate stromal cell proteomics analysis discriminates normal from tumour reactive stromal phenotypes.,N,,,,
26943717,notass,Yes,N,Horizontal transfer of RNA and proteins between cells by extracellular microvesicles: 14 years later.,N,,,,
26944067,notass,NA,Y,TNF-Related Apoptosis-Inducing Ligand (TRAIL)-Armed Exosomes Deliver Proapoptotic Signals to Tumor Site.,Y,,,,
26951563,notass,Yes,N,Potential Transfer of Polyglutamine and CAG-Repeat RNA in Extracellular Vesicles in Huntington's Disease: Background and Evaluation in Cell Culture.,N,,,,
26955082,notass,NA,N,"Extracellular Vesicles: Composition, Biological Relevance, and Methods of Study.",N,,,,
26956853,notass,NA,Y,Protection of Nerve Injury with Exosome Extracted from Mesenchymal Stem Cell.,Y,,,,
26962055,notass,Yes,Y*,Subtoxic Alterations in Hepatocyte-Derived Exosomes: An Early Step in Drug-Induced Liver Injury?,Y*,,,,
26964503,notass,No,N,Pathways for Modulating Exosome Lipids Identified By High-Density Lipoprotein-Like Nanoparticle Binding to Scavenger Receptor Type B-1.,N,,,,
26973102,notass,NA,N*,Loss of exosomes in progranulin-associated frontotemporal dementia.,N,,,,
26979463,notass,Yes,Y,Display of GPI-anchored anti-EGFR nanobodies on extracellular vesicles promotes tumour cell targeting.,Y,,,,
26980205,notass,Yes,Y,Exosomes induce and reverse monocrotaline-induced pulmonary hypertension in mice.,Y,,,,
26981774,notass,NA,N,Identification of extracellular vesicle-borne periostin as a feature of muscle-invasive bladder cancer.,N,,,,
26984735,notass,NA,N,Human vascular endothelial cells transport foreign exosomes from cow's milk by endocytosis.,N,,,,
26992135,notass,NA,Y,Improvement of neuronal cell survival by astrocyte-derived exosomes under hypoxic and ischemic conditions depends on prion protein.,Y,,,,
26993508,notass,Yes,Y,Environmental Enrichment Stimulates Immune Cell Secretion of Exosomes that Promote CNS Myelination and May Regulate Inflammation.,Y,,,,
26995025,notass,NA,N,Effects of Echinococcus multilocularis miR-71 mimics on murine macrophage RAW264.7 cells.,N,,,,
26999719,notass,Yes,Y,Oxidative stress in retinal pigment epithelium cells increases exosome secretion and promotes angiogenesis in endothelial cells.,Y*,,,,
27006994,notass,Yes,Y,Exosomes Derived from Squamous Head and Neck Cancer Promote Cell Survival after Ionizing Radiation.,Y,,,,
27009329,notass,NA,N,Residual matrix from different separation techniques impacts exosome biological activity.,N,,,,
27010029,notass,Yes,Y,Exosomes from high glucose-treated glomerular endothelial cells activate mesangial cells to promote renal fibrosis.,Y,,,,
27015901,notass,NA,Y,Exosomes secreted from bone marrow-derived mesenchymal stem cells protect the intestines from experimental necrotizing enterocolitis.,Y,,,,
27018366,notass,NA,N,Isolation of biologically active and morphologically intact exosomes from plasma of patients with cancer.,N,,,,
27020854,notass,Yes,N,Vasopressin Regulates Extracellular Vesicle Uptake by Kidney Collecting Duct Cells.,N,,,,
27021436,notass,Yes,Y,Exosomal transfer of stroma-derived miR21 confers paclitaxel resistance in ovarian cancer cells through targeting APAF1.,Y,,,,
27021928,notass,NA,N,Cetuximab treatment alters the content of extracellular vesicles released from tumor cells.,N,,,,
27022410,notass,NA,N,Nano-zymography Using Laser-Scanning Confocal Microscopy Unmasks Proteolytic Activity of Cell-Derived Microparticles.,N,,,,
27029214,notass,Yes,N,Antiphospholipid antibody-induced miR-146a-3p drives trophoblast interleukin-8 secretion through activation of Toll-like receptor 8.,N,,,,
27030011,notass,NA,Y,Extracellular Vesicles Isolated from the Brains of rTg4510 Mice Seed Tau Protein Aggregation in a Threshold-dependent Manner.,Y,,,,
27041495,notass,NA,Y,Cardiovascular progenitor-derived extracellular vesicles recapitulate the beneficial effects of their parent cells in the treatment of chronic heart failure.,Y,,,,
27058413,notass,Yes,N,Gap junction-mediated transfer of miR-145-5p from microvascular endothelial cells to colon cancer cells inhibits angiogenesis.,N,,,,
27062568,notass,NA,N,Optimizing preservation of extracellular vesicular miRNAs derived from clinical cerebrospinal fluid.,N,,,,
27071670,notass,Yes,N,Inflammatory properties of inhibitor of DNA binding 1 secreted by synovial fibroblasts in rheumatoid arthritis.,N,,,,
27072025,notass,No,N,Comparing exosome-like vesicles with liposomes for the functional cellular delivery of small RNAs.,N,,,,
27075967,notass,Yes,N,Human macrophages induce CD4(+)Foxp3(+) regulatory T cells via binding and re-release of TGF-β.,N,,,,
27080510,notass,NA,N,Selective enrichment of microRNAs in extracellular matrix vesicles produced by growth plate chondrocytes.,N,,,,
27084478,notass,NA,N,"A preliminary proteomic characterisation of extracellular vesicles released by the ovine parasitic nematode, Teladorsagia circumcincta.",N,,,,
27087061,notass,NA,N,Low-density lipoprotein mimics blood plasma-derived exosomes and microvesicles during isolation and detection.,N,,,,
27087234,notass,NA,N,Lymphatic transport of exosomes as a rapid route of information dissemination to the lymph node.,N,,,,
27090786,notass,Yes,Y,Lung tumor exosomes induce a pro-inflammatory phenotype in mesenchymal stem cells via NFκB-TLR signaling pathway.,Y,,,,
27102001,notass,NA,N,Induction of miR-146a by multiple myeloma cells in mesenchymal stromal cells stimulates their pro-tumoral activity.,N,,,,
27102354,notass,Yes,Y,Bone marrow-derived mesenchymal stem cells improve diabetes-induced cognitive impairment by exosome transfer into damaged neurons and astrocytes.,Y,,,,
27105177,notass,NA,Y,Neutrophil-Derived Exosomes: A New Mechanism Contributing to Airway Smooth Muscle Remodeling.,Y,,,,
27109306,notass,Yes,N,Interaction of the LILRB1 inhibitory receptor with HLA class Ia dimers.,N,,,,
27114500,notass,NA,N,"Exosomes surf on filopodia to enter cells at endocytic hot spots, traffic within endosomes, and are targeted to the ER.",N,,,,
27115513,notass,NA,Y,Immunomodulatory effects of mesenchymal stromal cells-derived exosome.,Y,,,,
27117590,notass,NA,N,Circulating miR-29a and miR-150 correlate with delivered dose during thoracic radiation therapy for non-small cell lung cancer.,N,,,,
27117818,notass,NA,N,Exosomal microRNA miR-92a concentration in serum reflects human brown fat activity.,N,,,,
27118976,notass,NA,N,The Novel Methods for Analysis of Exosomes Released from Endothelial Cells and Endothelial Progenitor Cells.,N,,,,
27120791,notass,Yes,N,Palmitoylated claudin7 captured in glycolipid-enriched membrane microdomains promotes metastasis via associated transmembrane and cytosolic molecules.,N*,,,,
27122160,notass,NA,N,The Ste20 kinases SPAK and OSR1 travel between cells through exosomes.,N,,,,
27129166,notass,Yes,N,Extracellular miR-1246 promotes lung cancer cell proliferation and enhances radioresistance by directly targeting DR5.,N*,,,,
27129167,notass,NA,N,Potential role of exosome-associated microRNA panels and in vivo environment to predict drug resistance for patients with multiple myeloma.,N,,,,
27141372,notass,Yes,Y,Hypoxic tumor-derived microvesicles negatively regulate NK cell function by a mechanism involving TGF-β and miR23a transfer.,Y,,,,
27144529,notass,NA,N,Urine Exosomes for Non-Invasive Assessment of Gene Expression and Mutations of Prostate Cancer.,N,,,,
27150009,notass,NA,Y,Mesenchymal stromal cell-derived extracellular vesicles rescue radiation damage to murine marrow hematopoietic cells.,Y,,,,
27152724,notass,NA,N,Epidermal Growth Factor Receptor in Prostate Cancer Derived Exosomes.,N,,,,
27158133,notass,NA,N,Characterization and Small RNA Content of Extracellular Vesicles in Follicular Fluid of Developing Bovine Antral Follicles.,N,,,,
27158638,notass,NA,N,Temozolomide resistance and tumor recurrence: Halting the Hedgehog.,N,,,,
27160836,notass,Yes,Y,Exosomes-Derived MiR-302b Suppresses Lung Cancer Cell Proliferation and Migration via TGFβRII Inhibition.,Y,,,,
27161653,notass,NA,N,Extracellular microvesicle microRNAs in children with sickle cell anaemia with divergent clinical phenotypes.,N,,,,
27161734,notass,NA,Y,PO-45 - The role of microvesicles in multiple myeloma progression.,Y,,,,
27163713,notass,NA,N,Circulating Plasma Extracellular Microvesicle MicroRNA Cargo and Endothelial Dysfunction in Children with Obstructive Sleep Apnea.,N,,,,
27164936,notass,NA,Y,Plasma exosomal miR-21 and miR-181a differentiates follicular from papillary thyroid cancer.,Y,,,,
27167363,notass,NA,N,Plant microRNAs as novel immunomodulatory agents.,N,,,,
27169926,notass,NA,N,Transglutaminase type 2-dependent selective recruitment of proteins into exosomes under stressful cellular conditions.,N,,,,
27172798,notass,Yes,Y,Epithelial ovarian cancer-secreted exosomal miR-222-3p induces polarization of tumor-associated macrophages.,Y,,,,
27172881,notass,NA,Y,Molecular characterization of S. japonicum exosome-like vesicles reveals their regulatory roles in parasite-host interactions.,Y,,,,
27173397,notass,NA,Y,"Exosome-associated release, uptake, and neurotoxicity of HIV-1 Tat protein.",Y,,,,
27176642,notass,Yes,N,Multimodal transfer of MDR by exosomes in human osteosarcoma.,N,,,,
27178735,notass,Yes,Y,Exosome-mediated activation of toll-like receptor 3 in stellate cells stimulates interleukin-17 production by γδ T cells in liver fibrosis.,Y,,,,
27179759,notass,Yes,N,Transfer of malignant trait to BRCA1 deficient human fibroblasts following exposure to serum of cancer patients.,N,,,,
27180572,notass,NA,Y,Exosomes Secreted by Toxoplasma gondii-Infected L6 Cells: Their Effects on Host Cell Proliferation and Cell Cycle Changes.,Y,,,,
27184657,notass,NA,N,Exosomal Long Noncoding RNAs are Differentially Expressed in the Cervicovaginal Lavage Samples of Cervical Cancer Patients.,N,,,,
27189348,notass,Yes,N,A platform for actively loading cargo RNA to elucidate limiting steps in EV-mediated delivery.,N,,,,
27190370,notass,Yes,N,Acetazolamide enhances the release of urinary exosomal aquaporin-1.,N,,,,
27193612,notass,NA,N,Isolation of human salivary extracellular vesicles by iodixanol density gradient ultracentrifugation and their characterizations.,N,,,,
27196940,notass,NA,Y,Chronic myelogenous leukaemia exosomes modulate bone marrow microenvironment through activation of epidermal growth factor receptor.,Y,,,,
27198239,notass,Yes,Y,Thrombin Stimulated Platelet-Derived Exosomes Inhibit Platelet-Derived Growth Factor Receptor-Beta Expression in Vascular Smooth Muscle Cells.,Y,,,,
27198428,notass,No,N,71P Exosomes isolated in plasma of non-small cell lung cancer patients contain microRNA related to the EGFR pathway: Proof of concept.,N,,,,
27203438,notass,NA,Y,Mesenchymal Stem Cells Deliver Exogenous MicroRNA-let7c via Exosomes to Attenuate Renal Fibrosis.,Y,,,,
27216185,notass,Yes,Y,Adipocyte Exosomes Promote Melanoma Aggressiveness through Fatty Acid Oxidation: A Novel Mechanism Linking Obesity and Cancer.,Y,,,,
27216497,notass,NA,N,Enrichment of extracellular vesicles from tissues of the central nervous system by PROSPR.,N,,,,
27225482,notass,NA,N,The impact of patient co-morbidities on the regenerative capacity of cardiac explant-derived stem cells.,N,,,,
27226520,notass,Yes,Y,Monocyte exosomes induce adhesion molecules and cytokines via activation of NF-κB in endothelial cells.,Y,,,,
27229443,notass,NA,N,Effective isolation of exosomes with polyethylene glycol from cell culture supernatant for in-depth proteome profiling.,N,,,,
27232975,notass,NA,N,"c-Src, Insulin-Like Growth Factor I Receptor, G-Protein-Coupled Receptor Kinases and Focal Adhesion Kinase are Enriched Into Prostate Cancer Cell Exosomes.",N,,,,
27236748,notass,NA,Y,Human endothelial progenitor cells-derived exosomes accelerate cutaneous wound healing in diabetic rats by promoting endothelial function.,Y,,,,
27238466,notass,Yes,Y,Exosomes mediate hepatitis B virus (HBV) transmission and NK-cell dysfunction.,Y,,,,
27246926,notass,NA,N,Serum-derived exosomes from non-viremic animals previously exposed to the porcine respiratory and reproductive virus contain antigenic viral proteins.,N,,,,
27248822,notass,Yes,N,Viral oncomiR spreading between B and T cells is employed by Kaposi's sarcoma herpesvirus to induce non-cell-autonomous target gene regulation.,N,,,,
27252357,notass,Yes,Y,Exosomes secreted by mesenchymal stem cells promote endothelial cell angiogenesis by transferring miR-125a.,Y,,,,
27270382,notass,NA,Y,Induction of protective immunity against experimental Eimeria tenella infection using serum exosomes.,Y,,,,
27278097,notass,NA,N,Donor-Derived Exosomes With Lung Self-Antigens in Human Lung Allograft Rejection.,N,,,,
27278624,notass,Yes,Y,Macrophages transfer antigens to dendritic cells by releasing exosomes containing dead-cell-associated antigens partially through a ceramide-dependent pathway to enhance CD4(+) T-cell responses.,Y,,,,
27279906,notass,NA,N,Recapitulating the Size and Cargo of Tumor Exosomes in a Tissue-Engineered Model.,N,,,,
27284111,notass,Yes,Y,Hsp20-Mediated Activation of Exosome Biogenesis in Cardiomyocytes Improves Cardiac Function and Angiogenesis in Diabetic Mice.,Y,,,,
27285987,notass,NA,N,"YKT6 expression, exosome release, and survival in non-small cell lung cancer.",N,,,,
27291156,notass,Yes,N,Processing of miR17-92 Cluster in Hepatic Stellate Cells Promotes Hepatic Fibrogenesis During Alcohol-Induced Injury.,N*,,,,
27300513,notass,Yes,N,Human papillomavirus E6 and E7 oncoproteins affect the expression of cancer-related microRNAs: additional evidence in HPV-induced tumorigenesis.,N,,,,
27313497,notass,Yes,Y,Exosomes Secreted by Human-Induced Pluripotent Stem Cell-Derived Mesenchymal Stem Cells Repair Critical-Sized Bone Defects through Enhanced Angiogenesis and Osteogenesis in Osteoporotic Rats.,Y,,,,
27317184,notass,NA,N,"Generation, Quantification, and Tracing of Metabolically Labeled Fluorescent Exosomes.",N,,,,
27317185,notass,NA,N,Cardiac Myocyte Exosome Isolation.,N,,,,
27317346,notass,NA,N,Exosome-like vesicles in uterine aspirates: a comparison of ultracentrifugation-based isolation protocols.,N,,,,
27319758,notass,NA,N,Amoxicillin haptenates intracellular proteins that can be transported in exosomes to target cells.,N,,,,
27320496,notass,Yes,Y,Exosomes in the nose induce immune cell trafficking and harbour an altered protein cargo in chronic airway inflammation.,Y,,,,
27322220,notass,Yes,N,Shikonin Inhibits the Proliferation of Human Breast Cancer Cells by Reducing Tumor-Derived Exosomes.,N,,,,
27330291,notass,NA,N,Magnetic resonance imaging of ultrasmall superparamagnetic iron oxide-labeled exosomes from stem cells: a new method to obtain labeled exosomes.,N,,,,
27330539,notass,NA,N,Milk miRNAs: simple nutrients or systemic functional regulators?,N,,,,
27333275,notass,NA,N,Amnion-Epithelial-Cell-Derived Exosomes Demonstrate Physiologic State of Cell under Oxidative Stress.,N,,,,
27336721,notass,NA,Y,Cardiac progenitor cell-derived exosomes prevent cardiomyocytes apoptosis through exosomal miR-21 by targeting PDCD4.,Y,,,,
27340620,notass,NA,Y,Foetal bovine serum-derived exosomes affect yield and phenotype of human cardiac progenitor cell culture.,Y,,,,
27343445,notass,No,N,Exosomal Proteins as Diagnostic Biomarkers in Lung Cancer.,N,,,,
27345057,notass,NA,N,Identification and characterization of EGF receptor in individual exosomes by fluorescence-activated vesicle sorting.,N,,,,
27347352,notass,Yes,Y,Exosome-mediated transfer from the tumor microenvironment increases TGFβ signaling in squamous cell carcinoma.,Y,,,,
27348586,notass,Yes,Y,Donor dendritic cell-derived exosomes promote allograft-targeting immune response.,Y,,,,
27351483,notass,NA,Y,Induction of IFNT-Stimulated Genes by Conceptus-Derived Exosomes during the Attachment Period.,Y,,,,
27372594,notass,NA,N,Plasma exosome profiles from dairy cows with divergent fertility phenotypes.,N,,,,
27378829,notass,Yes,N,Notch Signaling Mediates Skeletal Muscle Atrophy in Cancer Cachexia Caused by Osteosarcoma.,N,,,,
27379194,notass,NA,Y,FRTL-5 Rat Thyroid Cells Release Thyroglobulin Sequestered in Exosomes: A Possible Novel Mechanism for Thyroglobulin Processing in the Thyroid.,Y,,,,
27381477,notass,Yes,Y,Targeting the Ca(2+) Sensor STIM1 by Exosomal Transfer of Ebv-miR-BART13-3p is Associated with Sjögren's Syndrome.,Y,,,,
27381844,notass,NA,N,"In Primary Aldosteronism, Mineralocorticoids Influence Exosomal Sodium-Chloride Cotransporter Abundance.",N,,,,
27385095,notass,NA,Y,Tumor cells derived exosomes contain hTERT mRNA and transform nonmalignant fibroblasts into telomerase positive cells.,Y,,,,
27385098,notass,Yes,Y,TrkB-containing exosomes promote the transfer of glioblastoma aggressiveness to YKL-40-inactivated glioblastoma cells.,Y,,,,
27386584,notass,NA,N,Matrix-bound nanovesicles within ECM bioscaffolds.,N,,,,
27389011,notass,NA,N,Plasmalogen enrichment in exosomes secreted by a nematode parasite versus those derived from its mouse host: implications for exosome stability and biology.,N,,,,
27408937,notass,NA,N,Prediction of conversion from mild cognitive impairment to dementia with neuronally derived blood exosome protein profile.,N,,,,
27418137,notass,Yes,Y,Exosomes from human colorectal cancer induce a tumor-like behavior in colonic mesenchymal stromal cells.,Y,,,,
27419627,notass,NA,Y,Circulating exosomes potentiate tumor malignant properties in a mouse model of chronic sleep fragmentation.,Y,,,,
27419629,notass,Yes,Y,"CD44v6-competent tumor exosomes promote motility, invasion and cancer-initiating cell marker expression in pancreatic and colorectal cancer cells.",Y,,,,
27424049,notass,NA,N,Altered micro-ribonucleic acid expression profiles of extracellular microvesicles in the seminal plasma of patients with oligoasthenozoospermia.,N,,,,
27428420,notass,Yes,Y,Exosome Derived From Human Umbilical Cord Mesenchymal Stem Cell Mediates MiR-181c Attenuating Burn-induced Excessive Inflammation.,Y,,,,
27435394,notass,NA,N,Follicle-Stimulating Hormone Receptor Is Expressed by Most Ovarian Cancer Subtypes and Is a Safe and Effective Immunotherapeutic Target.,N,,,,
27437771,notass,NA,N,Barriers to horizontal cell transformation by extracellular vesicles containing oncogenic H-ras.,N,,,,
27439335,notass,Yes,Y,Exosome-mediated Transfer of αvβ3 Integrin from Tumorigenic to Nontumorigenic Cells Promotes a Migratory Phenotype.,Y,,,,
27440046,notass,NA,Y,Microvesicle Cargo and Function Changes upon Induction of Cellular Transformation.,Y,,,,
27441821,notass,No,N,BARHL2 Methylation Using Gastric Wash DNA or Gastric Juice Exosomal DNA is a Useful Marker For Early Detection of Gastric Cancer in an H. pylori-Independent Manner.,N,,,,
27443190,notass,Yes,Y,Pancreatic Cancer Cell Exosome-Mediated Macrophage Reprogramming and the Role of MicroRNAs 155 and 125b2 Transfection using Nanoparticle Delivery Systems.,Y,,,,
27443953,notass,NA,N,Altered expression of CD63 and exosomes in scleroderma dermal fibroblasts.,N,,,,
27446418,notass,NA,N,"miR-182, of the miR-183 cluster family, is packaged in exosomes and is detected in human exosomes from serum, breast cells and prostate cells.",N,,,,
27447450,notass,No,N,Exosome engineering for efficient intracellular delivery of soluble proteins using optically reversible protein-protein interaction module.,N,,,,
27447723,notass,NA,Y,Involvement of exosomes in lung inflammation associated with experimental acute pancreatitis.,Y,,,,
27460850,notass,Yes,Y,Mesenchymal Stem Cell-Derived Exosomes Promote Fracture Healing in a Mouse Model.,Y,,,,
27462462,notass,Yes,Y,Osteoclast-derived microRNA-containing exosomes selectively inhibit osteoblast activity.,Y,,,,
27464736,notass,NA,N,Real time and label free profiling of clinically relevant exosomes.,N,,,,
27468688,notass,Yes,Y,Exosome-mediated delivery of miR-9 induces cancer-associated fibroblast-like properties in human breast fibroblasts.,Y,,,,
27470641,notass,NA,N,Phosphoproteome Characterization of Human Colorectal Cancer SW620 Cell-Derived Exosomes and New Phosphosite Discovery for C-HPP.,N,,,,
27475298,notass,No,Y,Mesenchymal stem cell and derived exosome as small RNA carrier and Immunomodulator to improve islet transplantation.,Y,,,,
27475633,notass,NA,N,Increasing of blastocyst rate and gene expression in co-culture of bovine embryos with adult adipose tissue-derived mesenchymal stem cells.,N,,,,
27484689,notass,NA,Y,Exosomes derived from tumor cells genetically modified to express Mycobacterium tuberculosis antigen: a novel vaccine for cancer therapy.,Y,,,,
27485285,notass,No,N,Identifying Urinary and Serum Exosome Biomarkers for Radiation Exposure Using a Data Dependent Acquisition and SWATH-MS Combined Workflow.,N,,,,
27487081,notass,NA,N,Comparative Proteomic Analysis of Extracellular Vesicles Isolated by Acoustic Trapping or Differential Centrifugation.,N,,,,
27494402,notass,NA,N,Detection of long non-coding RNAs in human breastmilk extracellular vesicles: Implications for early child development.,N,,,,
27496004,notass,NA,Y,Exosomes contribute to the transmission of anti-HIV activity from TLR3-activated brain microvascular endothelial cells to macrophages.,Y,,,,
27496221,notass,NA,N,Albuminuria is not associated with elevated urinary vesicle concentration but can confound nanoparticle tracking analysis.,N,,,,
27496568,notass,Yes,Y,Exosomal MicroRNAs Derived From Umbilical Mesenchymal Stem Cells Inhibit Hepatitis C Virus Infection.,Y,,,,
27499183,notass,NA,N,Are prions transported by plasma exosomes?,N,,,,
27500388,notass,NA,Y,Modification of tumor cell exosome content by transfection with wt-p53 and microRNA-125b expressing plasmid DNA and its effect on macrophage polarization.,Y,,,,
27506158,notass,Yes,N,PGE2 /EP4 Signaling Controls the Transfer of the Mammary Stem Cell State by Lipid Rafts in Extracellular Vesicles.,N,,,,
27507971,notass,NA,N,Melanoma Affects the Composition of Blood Cell-Derived Extracellular Vesicles.,N,,,,
27511944,notass,NA,N,Cargo proteins of plasma astrocyte-derived exosomes in Alzheimer's disease.,N,,,,
27515767,notass,Yes,Y,Exosomes derived from mature dendritic cells increase endothelial inflammation and atherosclerosis via membrane TNF-α mediated NF-κB pathway.,Y,,,,
27516962,notass,NA,N,Traumatic brain injury increases levels of miR-21 in extracellular vesicles: implications for neuroinflammation.,N,,,,
27530098,notass,NA,N,Structural and functional characterization of endothelial microparticles released by cigarette smoke.,N,,,,
27535708,notass,NA,N,Isolation and characterization of vesicular and non-vesicular microRNAs circulating in sera of partially hepatectomized rats.,N,,,,
27535912,notass,NA,N,Neutral Sphingomyelinase-2 Deficiency Ameliorates Alzheimer's Disease Pathology and Improves Cognition in the 5XFAD Mouse.,N,,,,
27536982,notass,Yes,Y,Human vaginal fluid contains exosomes that have an inhibitory effect on an early step of the HIV-1 life cycle.,Y,,,,
27537259,notass,NA,Y,Modulation of Immune Responses by Extracellular Vesicles From Retinal Pigment Epithelium.,Y,,,,
27538493,notass,No,Y,Exosomal miR-24-3p impedes T-cell function by targeting FGF11 and serves as a potential prognostic biomarker for nasopharyngeal carcinoma.,Y,,,,
27539657,notass,NA,Y,Systemic administration of cell-free exosomes generated by human bone marrow derived mesenchymal stem cells cultured under 2D and 3D conditions improves functional recovery in rats after traumatic brain injury.,Y,,,,
27542209,notass,NA,Y,Boar seminal plasma exosomes maintain sperm function by infiltrating into the sperm membrane.,Y,,,,
27557608,notass,NA,N,Sulfatides in extracellular vesicles isolated from plasma of multiple sclerosis patients.,N,,,,
27559612,notass,NA,N,Y-box protein 1 is required to sort microRNAs into exosomes in cells and in a cell-free reaction.,N,,,,
27564521,notass,NA,N,Concomitant Evaluation of a Panel of Exosome Proteins and MiRs for Qualification of Cultured Human Corneal Endothelial Cells.,N,,,,
27567840,notass,NA,Y,Extracellular Vesicles Containing P301L Mutant Tau Accelerate Pathological Tau Phosphorylation and Oligomer Formation but Do Not Seed Mature Neurofibrillary Tangles in ALZ17 Mice.,Y,,,,
27568581,notass,Yes,Y,Tumor Cell Malignant Properties Are Enhanced by Circulating Exosomes in Sleep Apnea.,Y,,,,
27569704,notass,Yes,Y,Extracellular vesicles in human follicular fluid do not promote coagulation.,Y,,,,
27573701,notass,No,N,miR‑1246 and miR‑4644 in salivary exosome as potential biomarkers for pancreatobiliary tract cancer.,N,,,,
27579288,notass,NA,N,Microvesicles preparation from mesenchymal stem cells.,N,,,,
27582331,notass,NA,N,Next-Generation Sequencing of Protein-Coding and Long Non-protein-Coding RNAs in Two Types of Exosomes Derived from Human Whole Saliva.,N,,,,
27590846,notass,Yes,Y,Subcutaneous injection of exosomes reduces symptom severity and mortality induced by Echinostoma caproni infection in BALB/c mice.,Y,,,,
27592404,notass,Yes,Y,Hepatoprotective effect of exosomes from human-induced pluripotent stem cell-derived mesenchymal stromal cells against hepatic ischemia-reperfusion injury in rats.,Y,,,,
27596437,notass,NA,Y,Identification of a novel mechanism of blood-brain communication during peripheral inflammation via choroid plexus-derived extracellular vesicles.,Y,,,,
27599779,notass,No,N,Quantification of plasma exosome is a potential prognostic marker for esophageal squamous cell carcinoma.,N,,,,
27601730,notass,NA,Y,AML suppresses hematopoiesis by releasing exosomes that contain microRNAs targeting c-MYB.,Y,,,,
27608715,notass,NA,N,Plasma exosome microRNAs are indicative of breast cancer.,N,,,,
27609124,notass,NA,N,Exosomal proteome analysis of cerebrospinal fluid detects biosignatures of neuromyelitis optica and multiple sclerosis.,N,,,,
27610819,notass,NA,N,Circulating MicroRNAs in Graves' Disease in Relation to Clinical Activity.,N,,,,
27630638,notass,Yes,Y,Extracellular Vesicles Including Exosomes Regulate Innate Immune Responses to Hepatitis B Virus Infection.,Y,,,,
27634380,notass,NA,N,HIV-1 Tat-shortened neurite outgrowth through regulation of microRNA-132 and its target gene expression.,N,,,,
27634792,notass,NA,N,Effect on Intermittent Hypoxia on Plasma Exosomal Micro RNA Signature and Endothelial Function in Healthy Adults.,N,,,,
27637291,notass,NA,N,A study of extracellular vesicle concentration in active diabetic Charcot neuroarthropathy.,N,,,,
